species;substances;substancess_reference;family;family_reference
Ainoa geochroa;gyrophoric acid;italic;Baeomycetaceae;gbif
Ainoa mooreana;gyrophoric acid;italic;Baeomycetaceae;gbif
Alectoria imshaugii;squamatic acid, thamnolic acid;lias;Parmeliaceae;gbif
Alectoria lata;alectoronic acid;lias;Parmeliaceae;gbif
Alectoria nigricans;alectorialic acid;italic;Parmeliaceae;gbif
Alectoria nigricans;alectorialic acid, barbatolic acid;lias;Parmeliaceae;gbif
Alectoria ochroleuca;usnic;italic;Parmeliaceae;gbif
Alectoria ochroleuca;diffractaic acid, usnic acid;lias;Parmeliaceae;gbif
Alectoria sarmentosa;usnic;italic;Parmeliaceae;gbif
Alectoria sarmentosa;alectorialic acid, alectoronic acid, squamatic acid, usnic acid;lias;Parmeliaceae;gbif
Alectoria vancouverensis;alectoronic acid, barbatic acid, olivetoric acid, usnic acid;lias;Parmeliaceae;gbif
Allantoparmelia almquistii;olivetoric acid;lias;Parmeliaceae;gbif
Allantoparmelia alpicola;alectorialic acid, barbatolic acid, unknown/unidentified compound(s);lias;Parmeliaceae;gbif
Allocetraria madreporiformis;lichesterinic acid, usnic acid;lias;Parmeliaceae;gbif
Almbornia azaniensis;lichesterinic acid, unknown/unidentified fatty acid(s);lias;Parmeliaceae;gbif
Almbornia cafferensis;connorstictic acid, norstictic acid, stictic acid;lias;Parmeliaceae;gbif
Amandinea conglomerata;norstictic acid;lias;Caliciaceae;gbif
Amandinea dakotensis;atranorin;lias;Caliciaceae;gbif
Amandinea devilliersiana;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Amandinea diorista;4,5-dichloro-3-o-methylnorlichexanthone, 4,5-dichloronorlichexanthone, arthothelin, lichexanthone, thuringione;lias;Caliciaceae;gbif
Amandinea efflorescens;4,5-dichloronorlichexanthone, lobaric acid;lias;Caliciaceae;gbif
Amandinea lecideina;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Amandinea maritima;lichesterinic acid;lias;Caliciaceae;gbif
Amandinea petermannii;norstictic acid;lias;Caliciaceae;gbif
Amandinea subduplicata;atranorin;lias;Caliciaceae;gbif
Amazonomyces farkasiae;unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Amazonomyces sprucei;unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Amphorothecium occultum;amphorothecic acid a, amphorothecic acid b, atranorin;lias;Myeloconidiaceae;gbif
Ampliotrema auratum;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified pigment(s), virensic acid;lias;Graphidaceae;gbif
Ampliotrema cocosense;protocetraric acid, virensic acid;lias;Graphidaceae;gbif
Amygdalaria panaeola;gyrophoric acid;lias;Lecideaceae;gbif
Amygdalaria pelobotryon;gyrophoric acid;lias;Lecideaceae;gbif
Amylora cervinocuprea;5-o-methylhiascic acid;italic;Trapeliaceae;gbif
Amylora cervinocuprea;5-o-methylhiascic acid;lias;Trapeliaceae;gbif
Anamylopsora pulcherrima;5,7-dihydroxy-6-methylphthalide, alectorialic acid, alectorialin;lias;Baeomycetaceae;gbif
Anaptychia bryorum;zeorin;italic;Physciaceae;gbif
Anaptychia bryorum;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), variolaric acid;lias;Physciaceae;gbif
Anaptychia crinalis;unknown/unidentified compound(s);lias;Physciaceae;gbif
