species;substances;substancess_reference;family;family_reference
Cladonia crustacea;didymic acid, rhodocladonic acid, squamatic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia cucullata;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia curta;barbatic acid, condidymic acid, didymic acid, rhodocladonic acid, subdidymic acid;lias;Cladoniaceae;gbif
Cladonia cyanescens;4-o-demethylbarbatic acid, barbatic acid, decarboxythamnolic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia cyanipes;usnic, zeorin;italic;Cladoniaceae;gbif
Cladonia cyanopora;barbatic acid, decarboxythamnolic acid, stictic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia cyathomorpha;fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia cyathomorpha;fumarprotocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia cylindrica;fumarprotocetraric acid, grayanic acid;lias;Cladoniaceae;gbif
Cladonia dactylota;2'-o-demethylpsoromic acid, fumarprotocetraric acid, psoromic acid;lias;Cladoniaceae;gbif
Cladonia darwinii;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia decorticata;perlatolic acid;lias;Cladoniaceae;gbif
Cladonia deformis;rhodocladonic acid, usnic, zeorin;italic;Cladoniaceae;gbif
Cladonia deformis;isousnic acid, rhodocladonic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Cladoniaceae;gbif
Cladonia dendroides;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, ursolic acid;lias;Cladoniaceae;gbif
Cladonia densissima;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s), ursolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia densissima;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s), ursolic acid;lias;Cladoniaceae;gbif
Cladonia didyma;4-o-demethylbarbatic acid, barbatic acid, condidymic acid, didymic acid, rhodocladonic acid, squamatic acid, subdidymic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia digitata;rhodocladonic acid, thamnolic acid;italic;Cladoniaceae;gbif
Cladonia digitata;rhodocladonic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia dilleniana;barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia dimorpha;an additional fatty acid, fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia dimorpha;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified fatty acid(s);lias;Cladoniaceae;gbif
Cladonia dimorphoclada;psoromic acid, squamatic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia dissecta;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia divaricata;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid, succinprotocetraric acid, unknown/unidentified compound(s), unknown/unidentified fatty acid(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia diversa;rhodocladonic acid, usnic, usnic acid, zeorin;italic;Cladoniaceae;gbif
Cladonia ecmocyna;atranorin, fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia ecmocyna;atranorin, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia enantia;fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia evansii;anziaic acid, atranorin, perlatolic acid, unknown/unidentified compound(s), unknown/unidentified fatty acid(s), unknown/unidentified pigment(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia farinacea;atranorin, fumarprotocetraric acid, ursolic acid;lias;Cladoniaceae;gbif
Cladonia farinophylla;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, physodalic acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia fimbriata;fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia fimbriata;atranorin, confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia firma;atranorin, fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia firma;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia fissidens;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia flagellaris;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia flammea;decarboxythamnolic acid, diacetylgraciliformin, monoacetylgraciliformin, skyrin (rhodophyscin), thamnolic acid;lias;Cladoniaceae;gbif
Cladonia floerkeana;rhodocladonic acid;italic;Cladoniaceae;gbif
Cladonia floridana;barbatic acid, thamnolic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia foliacea;usnic, zeorin;italic;Cladoniaceae;gbif
Cladonia foliacea;fumarprotocetraric acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia friabilis;barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia fruticulosa;conpsoromic acid, fumarprotocetraric acid, protocetraric acid, psoromic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia furcata;atranorin;italic;Cladoniaceae;gbif
Cladonia furcata;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, hypoprotocetraric acid, protocetraric acid, unknown/unidentified fatty acid(s);lias;Cladoniaceae;gbif
Cladonia furfuracea;atranorin, confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia fuscofunda;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia gallowayi;squamatic acid;lias;Cladoniaceae;gbif
Cladonia glabra;decarboxythamnolic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia glauca;squamatic acid;italic;Cladoniaceae;gbif
Cladonia glauca;squamatic acid;lias;Cladoniaceae;gbif
Cladonia glebosa;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia gracilenta;decarboxythamnolic acid, rhodocladonic acid, thamnolic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia gracilis;atranorin, fumarprotocetraric acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia gracilis;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia gracilis;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia graeca;fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia granulosa;barbatic acid, decarboxythamnolic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia grayi;grayanic acid;italic;Cladoniaceae;gbif
Cladonia grayi;4-o-demethylgrayanic acid, colensoic acid, confumarprotocetraric acid, divaronic acid, fumarprotocetraric acid, grayanic acid, protocetraric acid, stenosporonic acid;lias;Cladoniaceae;gbif
Cladonia guianensis;3α-hydroxybarbatic acid, 4'-o-methylnorsekikaic acid, 4-o-demethylbarbatic acid, atranorin, barbatic acid, protocetraric acid, rhodocladonic acid, sekikaic acid;lias;Cladoniaceae;gbif
Cladonia halei;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s), ursolic acid;lias;Cladoniaceae;gbif
Cladonia hammeri;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia hians;4-o-demethylbarbatic acid, barbatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia homosekikaica;fumarprotocetraric acid, homosekikaic acid, protocetraric acid, sekikaic acid;lias;Cladoniaceae;gbif
Cladonia huberi;barbatic acid, squamatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia humilis;atranorin, bourgeanic acid, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia humilis;atranorin, bourgeanic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia hypoxantha;bellidiflorin, decarboxythamnolic acid, rhodocladonic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia hypoxanthoides;rhodocladonic acid, skyrin (rhodophyscin), thamnolic acid;lias;Cladoniaceae;gbif
Cladonia ibitipocae;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia imbricarica;4-o-demethylsphaerophorin, isosphaeric acid, sphaerophorin;lias;Cladoniaceae;gbif
Cladonia imbricata;fumarprotocetraric acid, homosekikaic acid, physodalic acid;lias;Cladoniaceae;gbif
Cladonia imperialis;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia incerta;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia incrassata;rhodocladonic acid, usnic;italic;Cladoniaceae;gbif
Cladonia incrassata;bellidiflorin, didymic acid, rhodocladonic acid, squamatic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia indica;homosekikaic acid;lias;Cladoniaceae;gbif
Cladonia insolita;fumarprotocetraric acid, squamatic acid;lias;Cladoniaceae;gbif
Cladonia isabellina;atranorin, confumarprotocetraric acid, constictic acid, cryptostictic acid, fumarprotocetraric acid, grayanic acid, homosekikaic acid, protocetraric acid, sekikaic acid, stictic acid;lias;Cladoniaceae;gbif
Cladonia itatiaiae;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia jaliscana;condidymic acid, decarboxythamnolic acid, didymic acid, rhodocladonic acid, subdidymic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia kalbii;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, physodalic acid, protocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia krempelhuberi;atranorin, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia kriegeri;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia krogiana;barbatic acid, chlorovinetorin;lias;Cladoniaceae;gbif
Cladonia kuringaiensis;constictic acid, cryptostictic acid, fumarprotocetraric acid, norstictic acid, protocetraric acid, stictic acid;lias;Cladoniaceae;gbif
Cladonia labradorica;unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia lacryma;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia latiloba;atranorin, connorstictic acid, constictic acid, cryptostictic acid, fumarprotocetraric acid, norstictic acid, stictic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia leporina;4-o-demethylbarbatic acid, baeomycesic acid, barbatic acid, condidymic acid, didymic acid, rhodocladonic acid, squamatic acid, subdidymic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia leprocephala;4-o-demethylbarbatic acid, barbatic acid, didymic acid, rhodocladonic acid, skyrin (rhodophyscin), thamnolic acid;lias;Cladoniaceae;gbif
Cladonia leucophylla;fumarprotocetraric acid, homosekikaic acid, sekikaic acid;lias;Cladoniaceae;gbif
Cladonia lingulata;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia litoralis;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia lopezii;atranorin, condidymic acid, didymic acid, fumarprotocetraric acid, protocetraric acid, rhodocladonic acid, subdidymic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia luteoalba;usnic, usnic acid, zeorin;italic;Cladoniaceae;gbif
Cladonia luteoalba;barbatic acid, didymic acid, fumarprotocetraric acid, porphyrilic acid, quaesitic acid, rhodocladonic acid, squamatic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Cladoniaceae;gbif
Cladonia macilenta;4-o-demethylbarbatic acid, barbatic acid, condidymic acid, decarboxythamnolic acid, didymic acid, rhodocladonic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia macilenta;3α-hydroxybarbatic acid, 4-o-demethylbarbatic acid, barbatic acid, condidymic acid, consquamatic acid, didymic acid, obtusatic acid, rhodocladonic acid, skyrin (rhodophyscin), squamatic acid, thamnolic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia macilentoides;decarboxythamnolic acid, rhodocladonic acid, thamnolic acid, unknown/unidentified pigment(s);lias;Cladoniaceae;gbif
Cladonia macroceras;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia macrophylla;psoromic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia macrophylliza;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia macrophyllodes;atranorin;italic;Cladoniaceae;gbif
Cladonia macrophyllodes;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia marcellii;barbatic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia mateocyatha;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia maxima;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia mediterranea;usnic;italic;Cladoniaceae;gbif
Cladonia megaphylla;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia melanopoda;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia meridensis;4-o-demethylbarbatic acid, barbatic acid, condidymic acid, decarboxythamnolic acid, didymic acid, rhodocladonic acid, skyrin (rhodophyscin), subdidymic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia meridionalis;barbatic acid, obtusatic acid, rhodocladonic acid;lias;Cladoniaceae;gbif
Cladonia merochlorophaea;lacks fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia merochlorophaea;4-o-methylcryptochlorophaeic acid, confumarprotocetraric acid, cryptochlorophaeic acid, fumarprotocetraric acid, merochlorophaeic acid, paludosic acid, protocetraric acid, submerochlorophaeic acid;lias;Cladoniaceae;gbif
Cladonia metacorallifera;didymic acid, rhodocladonic acid, squamatic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia metaminiata;barbatic acid, decarboxythamnolic acid, didymic acid, rhodocladonic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia mexicana;atranorin, confumarprotocetraric acid, constictic acid, cryptostictic acid, fumarprotocetraric acid, norstictic acid, protocetraric acid, stictic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia microscypha;barbatic acid, condidymic acid, decarboxythamnolic acid, didymic acid, rhodocladonic acid, skyrin (rhodophyscin), thamnolic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia minarum;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, succinprotocetraric acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia miniata;3α-hydroxybarbatic acid, 4'-o-methylnorsekikaic acid, 4-o-demethylbarbatic acid, baeomycesic acid, barbatic acid, condidymic acid, didymic acid, fumarprotocetraric acid, obtusatic acid, protocetraric acid, rhodocladonic acid, sekikaic acid, squamatic acid, subdidymic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia mitis;usnic;italic;Cladoniaceae;gbif
Cladonia modesta;atranorin, psoromic acid;lias;Cladoniaceae;gbif
Cladonia mongkolsukii;fumarprotocetraric acid, homosekikaic acid;lias;Cladoniaceae;gbif
Cladonia monomorpha;fumarprotocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia multiformis;fumarprotocetraric acid, ursolic acid;lias;Cladoniaceae;gbif
Cladonia multipartita;barbatic acid, squamatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia murrayi;rhodocladonic acid, skyrin (rhodophyscin), thamnolic acid;lias;Cladoniaceae;gbif
Cladonia mutabilis;barbatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia nana;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia nanodes;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia nashii;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia nitidella;fumarprotocetraric acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia norvegica;4-o-demethylbarbatic acid, barbatic acid;lias;Cladoniaceae;gbif
Cladonia novochlorophaea;4'-o-methylnorhomosekikaic acid, 4'-o-methylnorsekikaic acid, confumarprotocetraric acid, fumarprotocetraric acid, homosekikaic acid, hyperhomosekikaic acid, protocetraric acid, sekikaic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia nudicaulis;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia obscurata;4-o-demethylbarbatic acid, barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia obtecta;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia ochracea;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia ochrochlora;atranorin, confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, physodalic acid, protocetraric acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia paeminosa;bourgeanic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia pallens;thamnolic acid;lias;Cladoniaceae;gbif
Cladonia palmicola;decarboxythamnolic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia parasitica;thamnolic acid;italic;Cladoniaceae;gbif
Cladonia parasitica;barbatic acid, decarboxythamnolic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia parva;didymic acid, psoromic acid;lias;Cladoniaceae;gbif
Cladonia parvipes;3α-hydroxybarbatic acid, 4-o-demethylbarbatic acid, barbatic acid, fumarprotocetraric acid, obtusatic acid, rhodocladonic acid;lias;Cladoniaceae;gbif
Cladonia peltastica;barbatic acid, boninic acid, homosekikaic acid, sekikaic acid, squamatic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia penicillata;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia perfilata;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia pertricosa;barbatic acid, consquamatic acid, squamatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia peziziformis;fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia peziziformis;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified fatty acid(s);lias;Cladoniaceae;gbif
Cladonia phyllophora;fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia phyllophora;atranorin, fumarprotocetraric acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia piedadensis;barbatic acid, condidymic acid, didymic acid, subdidymic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia pityrophylla;confumarprotocetraric acid, connorstictic acid, constictic acid, fumarprotocetraric acid, norstictic acid, protocetraric acid, stictic acid;lias;Cladoniaceae;gbif
Cladonia pleurota;rhodocladonic acid, usnic, zeorin;italic;Cladoniaceae;gbif
Cladonia pleurota;isousnic acid, porphyrilic acid, rhodocladonic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Cladoniaceae;gbif
Cladonia pocillum;atranorin, confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid, psoromic acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia polycarpoides;atranorin, exceptionally homoheveadric acid, norstictic acid;italic;Cladoniaceae;gbif
Cladonia polycarpoides;homoheveadride, norstictic acid;lias;Cladoniaceae;gbif
Cladonia polycarpoides;2'-o-demethylpsoromic acid, atranorin, confumarprotocetraric acid, connorstictic acid, constictic acid, cryptostictic acid, fumarprotocetraric acid, homoheveadride, norstictic acid, protocetraric acid, psoromic acid, rangiformic acid, stictic acid;lias;Cladoniaceae;gbif
Cladonia polydactyla;rhodocladonic acid, thamnolic acid, usnic;italic;Cladoniaceae;gbif
Cladonia polydactyla;rhodocladonic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia polyscypha;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia polystomata;decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia polytypa;barbatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia portentosa;perlatolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia portentosa;perlatolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia praetermissa;fumarprotocetraric acid, protocetraric acid, psoromic acid;lias;Cladoniaceae;gbif
Cladonia prancei;barbatic acid, didymic acid, rhodocladonic acid, squamatic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia pseudotapperi;fumarprotocetraric acid, stictic acid;lias;Cladoniaceae;gbif
Cladonia pulchra;thamnolic acid;lias;Cladoniaceae;gbif
Cladonia pulverulenta;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia pulvinella;atranorin, bourgeanic acid, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia pulviniformis;barbatic acid, squamatic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia pumila;homosekikaic acid, rhodocladonic acid, sekikaic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia pyxidata;fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia pyxidata;4-o-methylcryptochlorophaeic acid, confumarprotocetraric acid, cryptochlorophaeic acid, fumarprotocetraric acid, paludosic acid, protocetraric acid, subpaludosic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia pyxidata;confumarprotocetraric acid, fumarprotocetraric acid, homosekikaic acid, protocetraric acid, sekikaic acid, unknown/unidentified fatty acid(s);lias;Cladoniaceae;gbif
Cladonia ramulosa;atranorin, fumarprotocetraric acid, zeorin;italic;Cladoniaceae;gbif
Cladonia ramulosa;confumarprotocetraric acid, fumarprotocetraric acid, homosekikaic acid, protocetraric acid, sekikaic acid;lias;Cladoniaceae;gbif
Cladonia rangiferina;atranorin, fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia rangiferina;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia rangiferina;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, unknown/unidentified fatty acid(s), ursolic acid;lias;Cladoniaceae;gbif
Cladonia rangiformis;atranorin, fumarprotocetraric acid, rangiformic acid;lias;Cladoniaceae;gbif
Cladonia rappii;2'-o-demethylpsoromic acid, atranorin, confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid, psoromic acid;lias;Cladoniaceae;gbif
Cladonia ravenelii;condidymic acid, decarboxythamnolic acid, didymic acid, rhodocladonic acid, squamatic acid, subdidymic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia rei;fumarprotocetraric acid, homosekikaic acid;lias;Cladoniaceae;gbif
Cladonia rhodoleuca;thamnolic acid;lias;Cladoniaceae;gbif
Cladonia rigida;barbatic acid, hyperhomosekikaic acid, sekikaic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia rigida;barbatic acid, homosekikaic acid, hyperhomosekikaic acid, sekikaic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia robbinsii;4-o-demethylbarbatic acid, barbatic acid, obtusatic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia robusta;barbatic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia rotundata;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia rubrotincta;rhodocladonic acid;italic;Cladoniaceae;gbif
Cladonia rugicaulis;decarboxythamnolic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia rugulosa;barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia salmonea;barbatic acid, fumarprotocetraric acid, obtusatic acid, rhodocladonic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia salzmannii;4-o-demethylbarbatic acid, barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia sandstedei;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s), ursolic acid;lias;Cladoniaceae;gbif
Cladonia sarmentosa;atranorin, fumarprotocetraric acid, protocetraric acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia scabriuscula;atranorin, fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia scabriuscula;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia scholanderi;barbatic acid, decarboxythamnolic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia secundana;3α-hydroxybarbatic acid, 4'-o-methylnorhomosekikaic acid, 4'-o-methylnorsekikaic acid, 4-o-demethylbarbatic acid, atranorin, barbatic acid, condidymic acid, confumarprotocetraric acid, consquamatic acid, didymic acid, fumarprotocetraric acid, homosekikaic acid, protocetraric acid, rhodocladonic acid, sekikaic acid, subdidymic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia signata;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, homosekikaic acid, hyperhomosekikaic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia sipmanii;4-o-demethylbarbatic acid, barbatic acid, squamatic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia solida;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified fatty acid(s), ursolic acid;lias;Cladoniaceae;gbif
Cladonia southlandica;fumarprotocetraric acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia spathulata;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia sphacelata;4-o-demethylbarbatic acid, barbatic acid, condidymic acid, didymic acid, squamatic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia spiculata;barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia spinea;barbatic acid, decarboxythamnolic acid, squamatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia sprucei;atranorin, confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia squamosa;squamatic acid;italic;Cladoniaceae;gbif
Cladonia squamosa;barbatic acid, decarboxythamnolic acid, squamatic acid, thamnolic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Cladoniaceae;gbif
