name,A,B,Bprime,C,E,F,G,HPLC,BefVis,BefUVS,BefUVL,Archers,AftVis,AftUV,M,F1,F2,F3,KResult,CResult,KCResult,PDResult,Cortex,Medulla,Notes,Related,Reference,Lichens,Synonyms,Path,GroupName,Class,GLossID
Norcaperatic acid,0,26,x,1,x,x,x,x,−,−,?,x,No Result,No Result,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Occurs in Melanelia stygia,Caperatic acid,"Culberson, CF 1972: Improved conditions and new data for the identification of lichen products by astandardized thin-layer chromatographic method. Journal of Chromatography 72: 113-125.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
Norcolensoic acid,28,54,53,31,x,x,x,28,−,+,?,x,P.Brown,Purple,384,356,343,341,No Result,No Result,Red,No Result,?,?,LW UV: fades to bright violet. Occurs in Hypotrachyna dactylifera,Colensoic acid,"Chester, DO Elix, JA 1981: New metabolites from Australian lichens. Australian Journal ofChemistry 34: 1507-1511.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
Nordechloropannarin,51,x,46,40,28,x,x,18,−,+,?,x,Brown,Brown,314,286,179,177,No Result,No Result,No Result,Yellow,?,?,Acid Spray: fades to green. Occurs in Lecanora dispersa,"Argopsin, Dechloropannarin, Norargopsin, Norpannarin, Pannarin,Virensic acid","Leuckert, C Ahmadjian, V Culberson, CF Johnson, A 1990: Xanthones and depsidones of thelichen Lecanora dispersa in nature and its mycobiont in culture. Mycologia 82: 370-378.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Nordivaricatic acid,33,55,52,29,x,x,x,22,−,+,?,Orange,Grey,Green,-1,196,179,178,No Result,Red,Red,No Result,?,?,"Acid Spray: pale orange, grey halo. LW UV: strong-purple, green halo. Occurs in Cladia beaugleholei","Anziaic acid, 4-O-Demethylstenosporic acid, Divaricatic acid","Elix, JA Tearne, PD 1977: Nordivaricatic acid, a new depside from the lichen Heterodeabeaugleholei. Australian Journal of Chemistry 30: 2333-2335.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Norgangaleoidin,59,x,40,47,x,x,x,15,−,+,?,x,P.Yellow,Orange,402,400,398,366,No Result,No Result,No Result,No Result,?,?,Occurs in Lecanora chlarotera,"Gangaleoidin, Lecideoidin, Leoidin","Mahandru, MM Gilbert, A 1979: Norgangaleoidin, a dichlorodepsidone from Lecanora chlarotera.Bryologist 82: 292-295.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
"29-Nor-21α-hopane-3,22-dione",70,x,59,59,58,x,54,x,−,−,?,x,Brown,Orange,426,411,265,205,No Result,No Result,No Result,No Result,?,?,"Acid Spray: brown, fades to purple. LW UV: pale orange, fades to pale pink. Occurs in Evernia prunastri",Moretenone,"Nicollier, G Tabacchi, R Gavin, J Breton, JL Gonzales, AG 1979: Triterpenes de la ‘mousse dechêne’ (Evernia prunastri (L.) Ach.). Hevetica Chimica Acta 62: 807-810.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
Norisonotatic acid [?O-Methylolivaceic acid],12,x,23,14,x,x,x,15,−,+,?,x,Brown,Blue,330,312,286,x,No Result,No Result,Red,No Result,?,?,"Occurs in Ramalina americana, ?Myriotrema olivaceum","Isonotatic acid, Notatic acid, Olivaceic acid","Culberson, CF Culberson, WL Johnson, A 1990: The Ramalina americana complex (Ascomycotina,Ramalinaceae): chemical and geographical correlations. Bryologist 93: 167-186.",,?O-Methylolivaceic acid,acetyl-polymalonyl pathway,depsidones,orcinol β-orcinol depsidones,
Norjackinic acid,10,x,38,x,x,x,x,x,−,−,?,x,No Result,No Result,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Occurs in Lepraria jackii,Jackinic acid,New report.,,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
Norlichexanthone,35,x,40,11,14,x,x,15,−,+,?,x,P.Yellow,B.Blue,258,257,229,201,No Result,Orange-red,No Result,No Result,?,?,Occurs in Lecanora reuteri,"Griseoxanthone-C, Lichexanthone","Culberson, CF 1969: Chemical and botanical guide to lichen products. Univ. North Carolina Press,Chapel Hill: 179. Huneck, S Yoshimura, I 1996: Identification of Lichen Substances. Springer-Verlag, Berlin,Heidelberg, New York: 211.",,,acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
Norlobaridone,40,36,36,20,18,x,x,26,−,+,?,Lilac,P. Green,B.Blue,398,x,x,x,No Result,No Result,Pink,No Result,?,?,"Acid Spray: dull green, fades to grey; weak-grey. Occurs in Xanthoparmelia scabrosa","Conorlobaridone, Isonorlobaridone, Loxodin, Norlobariol, Norlobariolmethyl ester","Culberson, CF 1969: Chemical and botanical guide to lichen products. Univ. North Carolina Press,Chapel Hill: 138. Huneck, S Yoshimura, I 1996: Identification of Lichen Substances. Springer-Verlag, Berlin,Heidelberg, New York: 343.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
