name,A,B,Bprime,C,E,F,G,HPLC,BefVis,BefUVS,BefUVL,Archers,AftVis,AftUV,M,F1,F2,F3,KResult,CResult,KCResult,PDResult,Cortex,Medulla,Notes,Related,Reference,Lichens,Synonyms,Path,GroupName,Class,GLossID
Acaranoic acid,43,x,24,41,x,x,x,x,−,−,?,No Result,No Result,Lilac,298,280,252,157,No Result,No Result,No Result,No Result,?,?,Occurs in Pleopsidium chlorophanum,Acarenoic acid,"Huneck, S Höfle, G 1980: Structure of acaranoic and acarenoic acids, Phytochemistry 19: 2713-2715.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
Acarenoic acid,40,x,20,36,x,x,x,30,−,−,?,No Result,No Result,Lilac,296,278,260,252,No Result,No Result,No Result,No Result,?,?,Occurs in Pleopsidium chlorophanum,Acaranoic acid,"Huneck, S Höfle, G 1980: Structure of acaranoic and acarenoic acids, Phytochemistry 19: 2713-2715.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
"3β-Acetoxy-20,24-epoxydammarane-12β,25-diol [3-O-Acetylpyxinol]",x,x,x,47,27,x,52,x,−,−,?,x,Purple,Green,-1,503,500,485,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine endochrysina,"3β,25-Diacetoxy-20,24-epoxydammarane, 3β,25-Diacetoxy-20,24-epoxydammarane-12β-ol, 20,24-Epoxydammarane-3β,12β,25-triol, Methyl 3-O-acetoxypyxinate, Methylpyxinate","Yosioka, I Yamauchi, H Kitagawa, I 1972: Lichen triterpenoids. V. On the neutral triterpenes of βendochrysina Nyl., Chemical and Parmaceutical Bulletin (Tokyo) 20: 502-513.",,3-O-Acetylpyxinol,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"25-Acetoxy-20,24-epoxydammarane-3β-ol",x,x,x,52,45,x,73,x,−,−,?,x,Brown,Green,502,487,442,398,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine coccifera,"25-Acetoxy-20,24-epoxydammarane-3-one, Methyl pyxinate","Huneck, S 1976: Inhaltsstoffe von Pyxine coccifera, Phytochemistry 15: 799-801.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"25-Acetoxy-20,24-epoxydammarane-3-one",x,x,x,52,45,x,88,x,−,−,?,x,Purple,Green,500,485,467,425,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine coccifera,"25-Acetoxy-20,24-epoxydammarane-3β-ol, Methyl pyxinate","Huneck, S 1976: Inhaltsstoffe von Pyxine coccifera, Phytochemistry 15: 799-801.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-12β-ol,69,x,65,41,53,x,89,x,−,−,?,x,P. Brown,P.Yellow,484,466,451,273,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow-brown. LW UV: pale yellow, white halo. Occurs in Pseudocyphellaria aurata","3β-Acetoxyfern-9(11)-ene-19β-ol, 12α-Acetoxyfern-9(11)-ene-3β-ol, 3β-Acetoxyfern-9(11)-ene-12-one, Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol, 3β-Hydroxyfern-9(11)-ene-12-one","Wilkins, AL Elix, JA 1990: New fernene triterpenes from the lichen Pseudocyphellaria aurata:Australian Journal of Chemistry 43: 623-627.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-19β-ol,60,x,60,56,48,x,80,x,−,−,?,x,Brown,Orange,484,469,451,409,No Result,No Result,No Result,No Result,?,?,"Acid Spray: fades to purple. LW UV: brown, orange halo. Occurs in Pseudocyphellaria aurata, Pyxineberteriana","3β-Acetoxyfern-9(11)-ene-12β-ol, 12α-Acetoxyfern-9(11)-ene-3β-ol, 3β-Acetoxyfern-9(11)-ene-12-one, Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol, 3β-Hydoxyfern-9(11)-ene-12-one","Wilkins, AL Elix, JA 1990: New fernene triterpenes from the lichen Pseudocyphellaria aurata:Australian Journal of Chemistry 43: 623-627.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
12α-Acetoxyfern-9(11)-ene-3β-ol,55,x,49,45,27,x,60,x,−,−,?,x,Brown,Orange,484,442,424,391,No Result,No Result,No Result,No Result,?,?,"Acid Spray: fades to purple. LW UV: brown, orange halo. Occurs in Xanthoria resendei","Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol","Gonzales, AG Martin, LD, Pérez, C 1974: Three new triterpenes from the lichen Xanthoria resendei:Phytochemistry 13: 1547-1549.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-12-one,72,x,64,56,66,x,39,x,−,−,?,x,P. Brown,P.Yellow,482,467,397,271,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow-brown. LW UV: pale yellow, white halo. Occurs in Pseudocyphellaria aurata","3β-Acetoxyfern-9(11)-ene-12β-ol, 3β-Acetoxyfern-9(11)-ene-19β-ol,12α-Acetoxyfern-9(11)-ene-3β-ol, Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol, 3β-Hydroxyfern-9(11)-ene-12-one","Wilkins, AL Elix, JA 1990: New fernene triterpenes from the lichen Pseudocyphellaria aurata:Australian Journal of Chemistry 43: 623-627.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-19-one,70,x,x,60,x,x,x,x,−,−,?,x,Brown,P.Yellow,482,467,407,x,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine berteriana,"3β-Acetoxyfern-9(11)-ene-19β-ol, Fern-9(11)-ene-3.19-dione","Maier, MS Rosso, ML Fazio, AT Adler, MT Bertoni, MD 2009. Fernene triterpenoids from thelichen Pyxine berteriana. Journal of Natural Products 72: 1902-1904.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"3β-Acetoxyhopane-1β,22-diol",51,x,34,39,23,x,53,x,−,−,?,x,P. Brown,Pink,502,484,466,441,No Result,No Result,No Result,No Result,?,?,Occurs in Dirinaria sp.,x,"Huneck, SPreiss, ASchmidt, J Morales Mendez, A 1983: 3β-Acetoxyhopane-1β,22-diol, atriterpene from the lichen Pseudoparmelia texana. Phytochemistry 22: 2027-2030.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"6α-Acetoxyhopane-7β,22-diol",40,24,x,34,6,x,x,x,−,−,?,x,P. Brown,P.Yellow,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Occurs in Pseudocyphellaria crocata,"7β-Acetoxyhopane-6α,22-diol, 7β-Acetoxyhopane-22-ol, Hopane-6α,22-diol [Zeorin], Hopane-7β,22-diol, Hopane-6α,7β,22-triol","Wilkins, AL James, PW 1979: The chemistry of Pseudocyphellaria impressa s. lat. in New Zealand.Lichenologist 11: 271-281.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"6α-Acetoxyhopane-16β,22-diol",37,x,34,34,6,x,38,x,−,−,?,x,P. Brown,P.Yellow,502,484,442,426,No Result,No Result,No Result,No Result,?,?,"Occurs in Parmelia [Myelochroa] entotheiochroa, Heterodermia tremulans","16β-Acetoxyhopane-6α,22-diol, 6α-Acetoxyhopane-22-ol, 6α,16β-Diacetoxyhopane-22-ol, Hopane-6α,22-diol [Zeorin], Hopane-16β,22-diol, Hopane-6α,16β,22-triol [Leucotylin]","Elix, JA Whitton, AA Jones, AJ 1982: Triterpenes from the lichen genus Physcia, Austrlian Journalof Chemistry 35: 641-647.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"7β-Acetoxyhopane-6α,22-diol",47,28,x,40,10,x,x,x,−,−,?,x,Brown,Orange,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Acid Spray: fades to purple. LW UV: fades to pale yellow. Occurs in Pseudocyphellaria crocata,"6α-Acetoxyhopane-7β,22-diol, 7β-Acetoxyhopane-22-ol, Hopane-6α,22-diol [Zeorin], Hopane-7β,22-diol, Hopane-6α,7β,22-triol","Wilkins, AL James, PW 1979: The chemistry of Pseudocyphellaria impressa s. lat. in New Zealand.Lichenologist 11: 271-281.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"16β-Acetoxyhopane-6α,22-diol",41,x,29,32,8,x,36,x,−,−,?,x,P. Brown,P.Yellow,502,484,442,424,No Result,No Result,No Result,No Result,?,?,"Occurs in Parmelia [Myelochroa] entotheiochroa, Heterodermia tremulans","6α-Acetoxyhopane-16β,22-diol, 6α-Acetoxyhopane-22-ol, 6α,16β-Diacetoxyhopane-22-ol, Hopane-6α,22-diol [Zeorin], Hopane-16β,22-diol, Hopane-6α,16β,22-triol [Leucotylin]","Elix, JA Whitton, AA Jones, AJ 1982: Triterpenes from the lichen genus Physcia, Austrlian Journalof Chemistry 35: 641-647.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"20α-Acetoxyhopane-6α,22-diol",x,x,30,36,18,x,x,x,−,−,?,x,Brown,Pink,502,484,442,424,No Result,No Result,No Result,No Result,?,?,Occurs in Physcia austrostellaris,"Hopane-6α,22-diol [Zeorin], Hopane-6α,20α,22-triol","Elix, JA Whitton, AA Jones, AJ 1982: Triterpenes from the lichen genus Physcia, Austrlian Journalof Chemistry 35: 641-647.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"6α-Acetoxyhopane-22-ol [Acetylzeorin, Lesdainin]",62,x,56,53,40,x,66,x,−,−,?,x,Purple,P.Yellow,484,442,0,0,No Result,No Result,No Result,No Result,?,?,Occurs in Botryolepraria lesdainii,"6α-Acetoxyhopane-16β,22-diol, 16β-Acetoxyhopane-6α,22-diol, 6α,16β-Diacetoxyhopane-22-ol, Hopane-6α,22-diol [Zeorin], Hopane-16β,22-diol, Hopane-6α,16β,22-triol [Leucotylin]","Wilkins, AL Elix, JA Gaul, KL Moberg, R 1989: New hopane triterpenoids from the lichen in thefamily Physciaceae, Austrlian Journal of Chemistry 42: 1415-1422.",,"Acetylzeorin, Lesdainin",mevalonic acid pathway,terpenoids & steroids,terpenoids,
7β-Acetoxyhopan-22-ol [Peltidactylin],63,x,52,49,41,x,61,x,−,−,?,x,P.Brown,P.Yellow,486,468,426,189,No Result,No Result,No Result,No Result,?,?,Occurs in Pseudocyphellaria billardieri,"6α-Acetoxyhopane-7β,22-diol, 7β-Acetoxyhopane-6α,22-diol, Hopane-15α,22-diol, Hopane-7β,22-diol, Hopane-6α,7β,22-triol","Wilkins, AL James, PW 1979: The chemistry of Pseudocyphellaria impressa s. lat. in New Zealand.Lichenologist 11: 271-281.",,Peltidactylin,mevalonic acid pathway,terpenoids & steroids,terpenoids,
15α-Acetoxyhopane-22-ol [Dolichorrizin],61,x,52,44,30,x,58,x,−,−,?,x,Brown,Orange,486,468,426,408,No Result,No Result,No Result,No Result,?,?,LW UV: fades to pale yellow. Acid Spray: fades to purple. Occurs in Peltigera aphthosa,"Hopane-15α,22-diol","White, FJ James, PW 1987: A chemical checklist of British lichens: Part 2 (Nephroma andPeltigera), Bulletin of the British Lichen Society 60: 42-47.",,Dolichorrizin,mevalonic acid pathway,terpenoids & steroids,terpenoids,
16β-Acetoxyhopane-22-ol,x,x,x,55,22,x,x,x,−,−,?,x,Brown,P.Yellow,486,468,0,0,No Result,No Result,No Result,No Result,?,?,Occurs in Heterodermia spathulifera,"6α-Acetoxyhopane-16β,22-diol, 16β-Acetoxyhopane-6α,22-diol, 6α,16β-Diacetoxyhopane-22-ol, Hopane-6α,22-diol [Zeorin], Hopane-16β,22-diol, Hopane-6α,16β,22-triol [Leucotylin]","Yosioka, I Yamaki, M Kitagawa, I 1966: On the triterpenic constituents of a lichen Parmeliaentotheiochroa Hue; zeorin, leucotylin, leucotylic acid, and five new related triterpenoids, Chemical andParmaceutical Bulletin (Tokyo) 14: 804-807.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
6α-Acetoxy-22-hydroxyhopane-25-oic acid [Aipolic acid],x,x,x,50,10,x,50,x,−,−,?,x,Brown,Purple,498,456,454,411,No Result,No Result,No Result,No Result,?,?,Occurs in Physcia aipolia from Kenya,"6α-Acetoxyhopane-22-ol, Hopane-6α,22-diol [Zeorin]","Wilkins, AL Elix, JA Gaul, KL Moberg, R 1989: New hopane triterpenoids from the lichen in thefamily Physciaceae, Austrlian Journal of Chemistry 42: 1415-1422.",,Aipolic acid,mevalonic acid pathway,terpenoids & steroids,terpenoids,
16β-Acetoxy-22-hydroxyhopane-4α-oic acid [16-O-Acetylleucotylic acid],x,x,x,39,2,x,36,x,−,−,?,x,Brown,Orange,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Occurs in Parmelia [Myelochroa] entotheiochroa,"16β,22-Dihyroxyhopane-4α-oic acid [Leucotylic acid], Hopane-6α,22-diol[Zeorin], Hopane-16β,22-diol, Hopane-6α,16β,22-triol [Leucotylin]","Yosioka, I Nakanishi, T Yamauchi, H Kitagawa, I 1972: Lichen triterpenoids. IV. The structure ofleucotylic acid and methyl isoleucotylate, an acid-induced isomer of methyl leucotylate, Chemical andParmaceutical Bulletin (Tokyo) 20: 487-501.",,16-O-Acetylleucotylic acid,mevalonic acid pathway,terpenoids & steroids,terpenoids,
19-Acetoxylichesterinic acid,x,x,x,46,x,x,x,26,−,−,?,No Result,No Result,Lilac,382,364,340,322,No Result,No Result,No Result,No Result,?,?,"LW UV: weak spot difficult to detect, often UV-quenching. Best seen as wet plate dries. Occurs inNeoropogon trachycarpus [Usnea trachycarpa]","19-Acetoxyprotolichesterinic acid, protolichesterinic acid, lichesterinicacid","Ghogomu, RT Bodo, B 1982: Structural elucidation of 13-acetoxylichesterinic and 13-acetoxyprotolichesterinic acid, two aliphatic lichen metabolites from Neoropogon trachycarpus, Phytochemistry21: 2355-2358.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
19-Acetoxyprotolichesterinic acid,x,x,x,40,x,x,x,19,−,−,?,No Result,No Result,Purple,382,364,340,322,No Result,No Result,No Result,No Result,?,?,"LW UV: weak spot difficult to detect, often UV-quenching. Best seen as wet plate dries. Occurs inNeoropogon trachycarpus [Usnea trachycarpa]","19-Acetoxylichesterinic acid, protolichesterinic acid, lichesterinic acid","Ghogomu, RT Bodo, B 1982: Structural elucidation of 13-acetoxylichesterinic and 13-acetoxyprotolichesterinic acid, two aliphatic lichen metabolites from Neoropogon trachycarpus, Phytochemistry21: 2355-2358.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
"2α-Acetoxystictane-3β,22α-diol",45,x,33,37,19,x,44,x,−,−,?,x,P.Brown,Orange,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Acid Spray: fades to purple. LW UV: fades to pink. Occurs in Pseudocphellaria degelii and Ps. flavicans,"3β-Acetoxystictane-2α,22α-diol, 3β-Acetoxystictane-22α-ol, 22α-Hydroxy-3,4-secostict-4(23)-en-3-al, 22α-Hydroxy-3,4-secostict-4(23)-en-3-oic acid, Stictane-3β,22-diol","Chin, WJ Corbett, RE Heng, CK Wilkins, AL 1973: Lichen and fungi. Part XI. triterpenoids. IV.Isolation and structural elucidation of a new group of triterpenes from Sticta coronata, S. colensoi, and S.flavicans, Journal of the Chemical Society, Perkin Transactions I: 1437-1446.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"3β-Acetoxystictane-2α,22α-diol",45,x,33,40,57,x,49,x,−,−,?,x,Brown,Orange,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Acid Spray: fades to purple. LW UV: fades to pink. Occurs in Pseudocphellaria degelii and Ps. flavicans,"2α-Acetoxystictane-3β,22α-diol, 3β-Acetoxystictane-22α-ol, 22α-Hydroxy-3,4-secostict-4(23)-en-3-al, 22α-Hydroxy-3,4-secostict-4(23)-en-3-oic acid, Stictane-3β,22-diol","Chin, WJ Corbett, RE Heng, CK Wilkins, AL 1973: Lichen and fungi. Part XI. triterpenoids. IV.Isolation and structural elucidation of a new group of triterpenes from Sticta coronata, S. colensoi, and S.flavicans, Journal of the Chemical Society, Perkin Transactions I: 1437-1446.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
α-Acetylconstictic acid,16,x,4,11,x,x,23,x,−,+,?,x,Orange,Orange,384,370,342,314,Yellow,No Result,No Result,Orange,?,?,Occurs in Menegazzia platytrema,"Connorstictic acid, Constictic acid, Cryptostictic acid, Menegazziaic acid,Methyl stictic acid, Norstictic acid, Stictic acid","Elix, JA Gaul, KL James, PW Purvis, OW 1987: Three New Lichen Depsidones. AustralianJournal of Chemistry 40: 417-423.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
α-Acetylhypoconstictic acid,34,x,14,20,x,x,46,x,−,+,?,x,P.Red,Pink,430,370,354,342,Yellow,No Result,x,No Result,?,?,"Occurs in Menegazzia dispora, Xanthoparmelia metastrigosa","Hypoconstictic acid, Hyposalazinic acid, Hypostictic acid, 4-O-Methylhypoprotocetraric acid","Elix, JA Gaul, KL James, PW 1985: α-Acetylhypoconstictic acid, a new depsidone from the lichenMenegazzia dispora. Australian Journal of Chemistry 38: 1735-1737.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
5-O-Acetyl-4-O-methylhiascic acid,30,x,34,45,x,x,x,x,−,+,?,Red,Yellow,Green,1,330,304,286,No Result,P.Red,Red,No Result,?,?,Occurs in Koerberiella wimmeriana,"4-O-Methylhiascic acid, Hiascic acid","Elix, JA Yu, J Tønsberg, T 1991: 4-O-Methylhiascic acid and 5-O-acetyl-4-O-methylhiascic acid,two new lichen tridepsides. Australian Journal of Chemistry 44: 157-163.",,,,depsides,orcinol tridepsides,
2-O-Acetyltenuiorin,63,53,x,39,x,x,x,x,−,+,?,Red,Yellow,Green,1,235,224,221,No Result,No Result,No Result,No Result,?,?,Reported to occur in Pseudocyphellaria neglecta,Tenuiorin,"Bryan, AJ Elix, JA 1976: 2-O-Acetyltenuiorin, a new tridepside from the lichen Pseudocyphellariaaustraliensis. Australian Journal of Chemistry 29: 1147-1151.",,,,depsides,orcinol tridepsides,
Acetyl-α-tocopherol [Tocopheryl acetate; vitamin E acetate],78,90,x,77,x,x,x,x,−,+,?,x,Yellow,Green,472,430,247,207,No Result,No Result,No Result,No Result,?,?,Occurs in Erioderma tomentosum,α-Tocopherol [vitamin E],"Hamat, ALB Samsudin, MWB Din, LB Elix, JA 1993: Two new depsidones from the lichenErioderma phaeorhizum Vainio sensu lato. Australian Journal of Chemistry 46: 153-156.",,Tocopheryl acetate; vitamin E acetate,mevalonic acid pathway,chromanes,chromanes,
Acetylportentol,65,29,x,45,x,x,x,x,−,−,?,x,No Result,No Result,352,292,277,239,No Result,No Result,No Result,No Result,?,?,Looks like fatty acid on plate. Occurs in Roccella fuciformis,Portentol,"Aberhart, DJ Overton, KH Huneck, S 1970: Portentol: an unusual polypropionate from the lichenRoccella portentosa. Journal of the Chemical Society (C): 1612-1623.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic compound,
Alectorialic acid,36,48,50,32,x,x,60,18,+,+,?,x,P.Brown,Brown,-1,332,196,150,Yellow,D.Red,No Result,Yellow,?,?,Occurs in Alectoria nigricans,"Alectorialin, Barbatolic acid, Barbatolin, 5,7-Dihydroxy-6-methylphthalide","Persson, B Santesson, J 1970: Chemical studies on lichens. 27. The structure of the depsidealectorialic acid. Acta Chemica Scandanavica 24: 345-346.",,,acetyl-polymalonyl pathway,benzyl esters,benzyl ester,
Alectorialin,37,x,34,13,10,x,49,13,−,+,?,x,Grey,B.Blue,332,314,301,137,Yellow,Red,No Result,Yellow,?,?,"LW UV: strong dark blue, light blue halo. Occurs in Alectoria nigricans","Alectorialic acid, Barbatolic acid, Barbatolin, 5,7-Dihydroxy-6-methylphthalide","Elix, JA Jayanthi, VK 1987: Synthetic confirmation of the structure of the lichen benzyl estersalectorialic and barbatolic acids. Australian Journal of Chemistry 40: 1841-1850.",,,acetyl-polymalonyl pathway,benzyl esters,benzyl ester,
Alectoronic acid [α-Alectoronic acid],33,34,31,17,x,x,x,26,−,+,?,x,P.Yellow,B.Blue,494,468,450,370,No Result,No Result,P.Red,No Result,?,?,"UV: flouresces bright blue before spraying. Acid Spray: pale yellow, grey halo. Occurs in Parmotremarigidum","α-Collatolic acid, Lividic acid, Physodic acid, Oxyphysodic acid","Elix, JA Ferguson, BA Sargent, MV 1974: The structure of alectoronic acid and related lichenmetabolites. Australian Journal of Chemistry 27: 2403-2411.",,α-Alectoronic acid,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
β-Alectoronic acid,7,6,x,7,x,x,x,24,−,+,?,x,P.Yellow,P.Blue,x,x,x,x,No Result,Red,Red,No Result,?,?,"Occurs in Asahinea chrysantha, Parmelia birulae","Alectoronic acid, α-Collatolic acid, β-Collatolic acid","Stepanenko, LS Krivoshchekova, OA Mishchenko, NP 1985: Chemical variations of Asahineachrysantha. Phytochemistry 24: 254-255.",,,acetyl-polymalonyl pathway,diphenyl ethers,diphenyl ether,
Alectosarmentin,19,x,x,12,x,x,x,5,−,+,?,x,Grey,Purple,286,240,212,184,No Result,Green,No Result,No Result,?,?,"Acid Spray: pale grey-blue. LW UV: strong purple, blue halo. Occurs in Alectoria sarmentosa, Cladoniastrepsilis","Di-O-methylstrepsilin, 7-O-Methylstrepsilin, Strepsilin","Gollapudi, SR Telikepalli, H Jampani, HB Mirhom, YW Drake, SD Bhattiprolu, KR van derVelde, D Mitscher, LA 1994: Alectosarmentin, a new antimicrobial dibenzofuran lactol from the lichen,Alectoria sarmentosa. Journal of Natural Products 57: 934-938.",,,acetyl-polymalonyl pathway,furans & furanones,dibenzofurans,
Allorhizin,57,56,52,65,32,x,x,x,−,−,?,No Result,Yellow,Purple,398,396,361,347,No Result,No Result,No Result,No Result,?,?,Occurs in Pannaria allorhiza,"Allorhizin methyl ether, Norvicanicin, Vicanicin","Elix, JA Lajide, L Galloway, DJ 1982: Metabolites from the lichen genus Psoroma. AustralianJournal of Chemistry 35: 2325-2333.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Alternariol,32,x,30,10,x,x,x,11,−,+,?,x,P.Yellow,Purple,258,x,x,x,No Result,No Result,No Result,No Result,?,?,Minor constituent of Pertusaria praecipua,9-O-Methylalternariol,"Archer, AWElix, JA 1998: The lichen genus Pertusaria (Lichenised Ascomycotina) in Papua NewGuinea: three new species and two new reports. Mycotaxon 69: 311-318.",,,acetyl-polymalonyl pathway,coumarins,"3,4-benzocoumarins",
Angardianic acid,42,x,60,48,x,x,x,x,−,−,?,x,No Result,No Result,328,310,292,282,No Result,No Result,No Result,No Result,?,?,Occurs in Lepraria alpina,Roccellic acid,"Leuckert, CKümmerling, H 1991: Chemotanomische Studien in der Gattung Leproloma Nyl. exCrombie (Lichenes). Nova Hedwigia 52: 17-32.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
Anhydrofusarubin lactol,40,x,11,32,x,x,x,13,+,+,?,x,Grey,Pink,-1,288,x,x,Red,No Result,No Result,No Result,?,?,"Violet pigment. Occurs in Xanthoparmelia violacea, X. quinonella",Fusarubin,"Elix, JAWardlaw, JH 2001: Anhydrofusarubin lactol from lichen sources. Australasia Lichenology49: 10-11.",,,acetyl-polymalonyl pathway,quinones,naphthaquinone,
Anhydrofusarubin lactol methyl ketal,54,x,23,45,x,x,x,26,+,+,?,x,Grey,Pink,-1,288,x,x,Red,No Result,No Result,No Result,?,?,"Violet pigment. Occurs in Xanthoparmelia violacea, X. quinonella","Anhydrofusarubin lactol, Fusarubin","Elix, JAWardlaw, JH 2001: Anhydrofusarubin lactol from lichen sources. Australasia Lichenology49: 10-11.",,,acetyl-polymalonyl pathway,quinones,naphthaquinone,
Anziaic acid,40,59,55,33,x,x,x,35,−,+,?,Orange,P.Yellow,Green,-1,224,206,191,No Result,Red,Red,No Result,?,?,"Acid Spray: strong-pale yellow, grey halo. LW UV: strong-purple, green halo. Occurs in Anzia japonica","4-O-Demethylmicrophyllinic acid, 2´-O-Methylanziaic acid, Olivetoricacid, Perlatolic acid","Culberson, CF 1969: Chemical and botanical guide to lichen products. Univ. North Carolina Press,Chapel Hill: 114. Huneck, S Yoshimura, I 1996: Identification of Lichen Substances. Springer-Verlag, Berlin,Heidelberg, New York: 237.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Aphthosin,0,0,1,0,x,x,x,x,−,+,?,x,P.Yellow,Green,-1,346,332,182,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow, grey halo. Occurs in Peltigera aphthosa","2’,2”-Di-O-methyltenuiorin, Gyrophoric acid, Methyl gyrophorate, 2’-O-Methyltenuiorin, 2”-O-Methyltenuiorin, Tenuiorin","Bachelor, FW King, GG 1970: Chemical constituents of lichens: aphthosin, a homologue ofpeltigerin. Phytochemistry 9: 2587-2589.",,,acetyl-polymalonyl pathway,depsides,orcinol tetradepsides,
Argopsin,77,x,73,82,43,95,x,43,−,+,?,x,Blue,Purple,400,398,396,x,No Result,No Result,No Result,Orange,?,?,"Occurs in Argopsis spp., Micarea lignaria, M. leprosula","Norargopsin, Norpannarin, Pannarin","Huneck, S Lamb, IM 1975: 1’-Chloropannarin, a new depsidone from Argopsis friesiana: notes onthe structure of pannarin and on the chemistry of the lichen genus Argopsis. Phytochemistry 14: 1625-1628.",,,acetyl-polymalonyl pathway,depsidones,β-orcinol depsidones,
Arthogalin,x,x,x,40,x,x,x,x,−,+,?,x,P.Brown,Green-blue,446,402,331,232,No Result,No Result,No Result,No Result,?,?,Occurs in Arthothelium galapagoensis,?,"Huneck, S Himmelreich, U Nicholson, G 1995: Arthogalin, a cyclic depsipeptide from the licchen .Arthothelium galapagoensis. Zeitschrift für Naturforschung 50B; 101.",,,shikimic acid pathway,amino-acid derivatives,amino acid derivative,
Arthoniaic acid,31,15,x,13,43,x,x,18,−,+,?,x,Pink,Blue,-1,262,248,206,No Result,Orange-red,Red,Orange,?,?,Occurs in Arthonia pruinata,"4-O-Demethylmicrophyllinic acid, 2’-O-Methylmicrophyllinic acid,Microphyllinic acid","Huneck, S Schreiber, K Snatzke Fehlhaber, H-W 1970: 70. Mitteilung über Flechteninhaltstoffe.Arthoniasäure, ein neues Depsid aus Arthonia impolita (Ehrh.) Borr. Zeitschrift für Naturforschung 25B: 49-53.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
"Arthothelin [2,4,5-Trichloronorlichexanthone]",43,x,40,35,15,32,x,35,+,+,?,x,Orange,Green,366,364,362,360,No Result,Orange,No Result,No Result,?,?,"Pale yellow pigment. Occurs in Buellia halonia, Lecanora straminea","4,5-Dichloronorlichexanthone, 6-O-Methylarthothelin, Thiophanic acid,Thuringione","Huneck, S Höfle, G 1978: Struktur und 13C-NMR-Spektroskopie von chlorhältigenFlechtenxanthonen. Tetrahedron 34: 2491-2502.",,"2,4,5-Trichloronorlichexanthone",acetyl-polymalonyl pathway,xanthones & ergochromes,xanthones,
"Asahinin [1,4,5,6,8-Pentahydroxy-3-methylanthraquinone]",x,x,x,x,x,x,x,x,+,+,?,x,Orange,Red,302,286,274,x,Red,No Result,No Result,No Result,?,?,Red-orange pigment. Minor component in Asahinea chrysantha,Cynodontin,"Mishchenko, NP Stepanenko, NL Krivoshchekova, OA Maximov, OB 1980: Anthraquinonesof Asahinea chrysantha. Khimiya Prirodnykh Soedinenii 2: 160-165.",,"1,4,5,6,8-Pentahydroxy-3-methylanthraquinone",acetyl-polymalonyl pathway,quinones,anthraquinones,
